game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
The Legend of Zelda: Breath of the Wild,NS,17.41,Nintendo,Action-Adventure,03 Mar 17,https://www.vgchartz.com/games/boxart/full_4436858AmericaFrontccc.png,https://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/?region=All
Luigi's Mansion 3,NS,6.33,Nintendo,Action-Adventure,31 Oct 19,https://www.vgchartz.com/games/boxart/full_3171235AmericaFrontccc.jpg,https://www.vgchartz.com/game/222771/luigis-mansion-3/?region=All
The Legend of Zelda: Link's Awakening,NS,4.38,Nintendo,Action-Adventure,20 Sep 19,https://www.vgchartz.com/games/boxart/full_5009585AmericaFrontccc.jpg,https://www.vgchartz.com/game/223547/the-legend-of-zelda-links-awakening/?region=All
Starlink: Battle for Atlas,NS,0.57,Ubisoft,Action-Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_5081749AmericaFrontccc.jpg,https://www.vgchartz.com/game/222160/starlink-battle-for-atlas/?region=All
LEGO DC Super-Villains,NS,0.44,Warner Bros. Interactive Entertainment,Action-Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_9525931AmericaFrontccc.jpg,https://www.vgchartz.com/game/222045/lego-dc-super-villains/?region=All
Hollow Knight,NS,0.25,Team Cherry,Action-Adventure,12 Jun 18,https://www.vgchartz.com/games/boxart/full_146115AmericaFrontccc.png,https://www.vgchartz.com/game/221090/hollow-knight/?region=All
Kamiko,NS,0.25,Flyhigh Works,Action-Adventure,27 Apr 17,https://www.vgchartz.com/games/boxart/full_2122589AmericaFrontccc.png,https://www.vgchartz.com/game/220813/kamiko/?region=All
ARK: Survival Evolved,NS,0.08,Studio Wildcard,Action-Adventure,30 Nov 18,https://www.vgchartz.com/games/boxart/full_307063AmericaFrontccc.jpg,https://www.vgchartz.com/game/222410/ark-survival-evolved/?region=All
Asterix and Obelix XXL2,NS,0.06,Microids,Action-Adventure,29 Nov 18,https://www.vgchartz.com/games/boxart/full_9521831PALFrontccc.jpg,https://www.vgchartz.com/game/222616/asterix-and-obelix-xxl2/?region=All
Yomawari: The Long Night Collection,NS,0.05,NIS America,Action-Adventure,30 Oct 18,https://www.vgchartz.com/games/boxart/full_6073791AmericaFrontccc.jpg,https://www.vgchartz.com/game/222088/yomawari-the-long-night-collection/?region=All
Monster Boy and the Cursed Kingdom,NS,0.04,FDG Entertainment,Action-Adventure,06 Nov 18,https://www.vgchartz.com/games/boxart/full_3249573AmericaFrontccc.jpg,https://www.vgchartz.com/game/220225/monster-boy-and-the-cursed-kingdom/?region=All
Max: The Curse of Brotherhood,NS,0.01,Wired Productions,Action-Adventure,24 Apr 18,https://www.vgchartz.com/games/boxart/full_1856705AmericaFrontccc.jpg,https://www.vgchartz.com/game/220550/max-the-curse-of-brotherhood/?region=All
Hotel Transylvania 3: Monsters Overboard,NS,0.01,Outright Games,Action-Adventure,10 Jul 18,https://www.vgchartz.com/games/boxart/full_2537648AmericaFrontccc.jpg,https://www.vgchartz.com/game/222051/hotel-transylvania-3-monsters-overboard/?region=All
Onimusha: Warlords,NS,0.01,Capcom,Action-Adventure,15 Jan 19,https://www.vgchartz.com/games/boxart/full_4605488JapanFrontccc.jpg,https://www.vgchartz.com/game/223269/onimusha-warlords/?region=All
Legend of Kay Anniversary,NS,0.01,THQ Nordic,Action-Adventure,29 May 18,https://www.vgchartz.com/games/boxart/full_4866702AmericaFrontccc.jpg,https://www.vgchartz.com/game/221235/legend-of-kay-anniversary/?region=All
Minecraft: Story Mode - The Complete Adventure,NS,0.46,Telltale Games,Adventure,22 Aug 17,https://www.vgchartz.com/games/boxart/full_1179975AmericaFrontccc.jpg,https://www.vgchartz.com/game/161519/minecraft-story-mode-the-complete-adventure/?region=All
L.A. Noire,NS,0.45,Rockstar Games,Adventure,14 Nov 17,https://www.vgchartz.com/games/boxart/full_7813179AmericaFrontccc.png,https://www.vgchartz.com/game/202280/la-noire/?region=All
RiME,NS,0.15,Grey Box,Adventure,21 Nov 17,https://www.vgchartz.com/games/boxart/full_8618692AmericaFrontccc.jpg,https://www.vgchartz.com/game/161517/rime/?region=All
Dragon Quest Builders 2,NS,0.14,Square Enix,Adventure,12 Jul 19,https://www.vgchartz.com/games/boxart/full_7693631JapanFrontccc.jpg,https://www.vgchartz.com/game/223266/dragon-quest-builders-2/?region=All
Goosebumps: The Game,NS,0.13,GameMill Entertainment,Adventure,09 Oct 18,https://www.vgchartz.com/games/boxart/full_2484712AmericaFrontccc.jpg,https://www.vgchartz.com/game/222203/goosebumps-the-game/?region=All
Batman: A Telltale Game Series,NS,0.12,Telltale Games,Adventure,14 Nov 17,https://www.vgchartz.com/games/boxart/full_6575804AmericaFrontccc.jpg,https://www.vgchartz.com/game/203194/batman-a-telltale-game-series/?region=All
Hello Neighbor: Hide & Seek,NS,0.07,Gearbox Software,Adventure,07 Dec 18,https://www.vgchartz.com/games/boxart/full_6234187AmericaFrontccc.jpg,https://www.vgchartz.com/game/222843/hello-neighbor-hide-amp-seek/?region=All
Scribblenauts Mega Pack,NS,0.05,Warner Bros. Interactive Entertainment,Adventure,18 Sep 18,https://www.vgchartz.com/games/boxart/full_3919089AmericaFrontccc.jpg,https://www.vgchartz.com/game/222626/scribblenauts-mega-pack/?region=All
Cat Quest,NS,0.04,PQube,Adventure,09 Oct 18,https://www.vgchartz.com/games/boxart/full_4121305AmericaFrontccc.jpg,https://www.vgchartz.com/game/221295/cat-quest/?region=All
Adventure Time: Pirates of the Enchiridion,NS,0.03,Outright Games,Adventure,17 Jul 18,https://www.vgchartz.com/games/boxart/full_1253974AmericaFrontccc.jpg,https://www.vgchartz.com/game/221378/adventure-time-pirates-of-the-enchiridion/?region=All
The Town of Light,NS,0.03,Wired Productions,Adventure,01 Jan 18,https://www.vgchartz.com/games/boxart/full_4262709AmericaFrontccc.jpg,https://www.vgchartz.com/game/221765/the-town-of-light/?region=All
Death Mark,NS,0.03,Aksys Games,Adventure,31 Oct 18,https://www.vgchartz.com/games/boxart/full_8856433PALFrontccc.jpg,https://www.vgchartz.com/game/222607/death-mark/?region=All
Syberia,NS,0.02,Microids,Adventure,20 Oct 17,https://www.vgchartz.com/games/boxart/full_5179710PALFrontccc.jpg,https://www.vgchartz.com/game/212696/syberia/?region=All
Minecraft: Story Mode - Season Two,NS,0.02,Telltale Games,Adventure,06 Nov 18,https://www.vgchartz.com/games/boxart/full_9981853AmericaFrontccc.jpg,https://www.vgchartz.com/game/222532/minecraft-story-mode-season-two/?region=All
Flipping Death,NS,0.01,Rising Star,Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_922270AmericaFrontccc.jpg,https://www.vgchartz.com/game/221136/flipping-death/?region=All
Jake Hunter Detective Story: Prism of Eyes,NS,0.01,Arc System Works,Adventure,09 Aug 18,https://www.vgchartz.com/games/boxart/full_6613416JapanFrontccc.jpg,https://www.vgchartz.com/game/222688/jake-hunter-detective-story-prism-of-eyes/?region=All
Syberia 2,NS,0.01,Microids,Adventure,30 Nov 17,https://www.vgchartz.com/games/boxart/full_2084535PALFrontccc.jpg,https://www.vgchartz.com/game/212695/syberia-2/?region=All
Super Smash Bros. Ultimate,NS,18.84,Nintendo,Fighting,07 Dec 18,https://www.vgchartz.com/games/boxart/full_8423750AmericaFrontccc.jpg,https://www.vgchartz.com/game/221289/super-smash-bros-ultimate/?region=All
ARMS,NS,2.21,Nintendo,Fighting,16 Jun 17,https://www.vgchartz.com/games/boxart/full_84620AmericaFrontccc.png,https://www.vgchartz.com/game/153117/arms/?region=All
Pokken Tournament DX,NS,1.16,Nintendo,Fighting,22 Sep 17,https://www.vgchartz.com/games/boxart/full_8288592AmericaFrontccc.png,https://www.vgchartz.com/game/181422/pokken-tournament-dx/?region=All
Ultra Street Fighter II: The Final Challengers,NS,0.57,Capcom,Fighting,26 May 17,https://www.vgchartz.com/games/boxart/full_86372AmericaFrontccc.jpg,https://www.vgchartz.com/game/161516/ultra-street-fighter-ii-the-final-challengers/?region=All
Dragon Ball FighterZ,NS,0.44,Bandai Namco Entertainment,Fighting,28 Sep 18,https://www.vgchartz.com/games/boxart/full_4024693AmericaFrontccc.jpg,https://www.vgchartz.com/game/222155/dragon-ball-fighterz/?region=All
My Hero One's Justice,NS,0.26,Bandai Namco Entertainment,Fighting,26 Oct 18,https://www.vgchartz.com/games/boxart/full_4349170AmericaFrontccc.jpg,https://www.vgchartz.com/game/221860/my-hero-ones-justice/?region=All
Street Fighter 30th Anniversary Collection,NS,0.19,Capcom,Fighting,29 May 18,https://www.vgchartz.com/games/boxart/full_3440880AmericaFrontccc.jpg,https://www.vgchartz.com/game/220807/street-fighter-30th-anniversary-collection/?region=All
BlazBlue: Cross Tag Battle,NS,0.07,Arc System Works,Fighting,05 Jun 18,https://www.vgchartz.com/games/boxart/full_4489495AmericaFrontccc.jpg,https://www.vgchartz.com/game/220338/blazblue-cross-tag-battle/?region=All
SNK Heroines Tag Team Frenzy,NS,0.05,NIS America,Fighting,07 Sep 18,https://www.vgchartz.com/games/boxart/full_4909469AmericaFrontccc.jpg,https://www.vgchartz.com/game/220631/snk-heroines-tag-team-frenzy/?region=All
Blade Strangers,NS,0.04,Nicalis,Fighting,28 Aug 18,https://www.vgchartz.com/games/boxart/full_1313229AmericaFrontccc.jpg,https://www.vgchartz.com/game/220583/blade-strangers/?region=All
Naruto Shippuden: Ultimate Ninja Storm Trilogy,NS,0.03,Bandai Namco Games,Fighting,26 Apr 18,https://www.vgchartz.com/games/boxart/full_3590570JapanFrontccc.jpg,https://www.vgchartz.com/game/221228/naruto-shippuden-ultimate-ninja-storm-trilogy/?region=All
Kamen Rider: Climax Scramble Zi-O,NS,0.03,Bandai Namco Games,Fighting,29 Nov 18,https://www.vgchartz.com/games/boxart/full_5558506JapanFrontccc.jpg,https://www.vgchartz.com/game/223311/kamen-rider-climax-scramble-zi-o/?region=All
Brawlout,NS,0.01,Merge Games,Fighting,26 Jun 18,https://www.vgchartz.com/games/boxart/full_7075090AmericaFrontccc.jpg,https://www.vgchartz.com/game/221071/brawlout/?region=All
Capcom Beat 'Em Up Bundle,NS,0.01,Capcom,Fighting,18 Sep 18,https://www.vgchartz.com/games/boxart/full_4960876AmericaFrontccc.png,https://www.vgchartz.com/game/222796/capcom-beat-em-up-bundle/?region=All
Fitness Boxing,NS,0.80,Nintendo,Music,04 Jan 19,https://www.vgchartz.com/games/boxart/full_6739111AmericaFrontccc.jpg,https://www.vgchartz.com/game/222934/fitness-boxing/?region=All
Just Dance 2019,NS,0.76,Ubisoft,Music,23 Oct 18,https://www.vgchartz.com/games/boxart/full_7733580AmericaFrontccc.jpg,https://www.vgchartz.com/game/222190/just-dance-2019/?region=All
Just Dance 2018,NS,0.76,Ubisoft,Music,24 Oct 17,https://www.vgchartz.com/games/boxart/full_483139AmericaFrontccc.jpg,https://www.vgchartz.com/game/203200/just-dance-2018/?region=All
Taiko no Tatsujin: Drum 'n' Fun!,NS,0.60,Bandai Namco Games,Music,02 Nov 18,https://www.vgchartz.com/games/boxart/full_5902227PALFrontccc.jpg,https://www.vgchartz.com/game/222680/taiko-no-tatsujin-drum-n-fun/?region=All
Just Dance 2017,NS,0.29,Ubisoft,Music,03 Mar 17,https://www.vgchartz.com/games/boxart/full_3662383AmericaFrontccc.jpg,https://www.vgchartz.com/game/119956/just-dance-2017/?region=All
Hatsune Miku: Project Diva MegaMix,NS,0.15,Sega,Music,15 May 20,https://www.vgchartz.com/games/boxart/full_7498369AmericaFrontccc.jpg,https://www.vgchartz.com/game/226004/hatsune-miku-project-diva-megamix/?region=All
Let's Sing 2019,NS,0.03,Ravenscourt,Music,26 Oct 18,https://www.vgchartz.com/games/boxart/full_2134012PALFrontccc.jpg,https://www.vgchartz.com/game/223116/lets-sing-2019/?region=All
SUPERBEAT: XONiC,NS,0.03,PM Studios,Music,21 Nov 17,https://www.vgchartz.com/games/boxart/full_9960509AmericaFrontccc.jpg,https://www.vgchartz.com/game/203230/superbeat-xonic/?region=All
Let's Sing 2018,NS,0.03,Koch Media,Music,24 Nov 17,https://www.vgchartz.com/games/boxart/full_3766370PALFrontccc.jpg,https://www.vgchartz.com/game/220616/lets-sing-2018/?region=All
Gal Metal!,NS,0.02,Xseed Games,Music,30 Oct 18,https://www.vgchartz.com/games/boxart/full_4309501AmericaFrontccc.jpg,https://www.vgchartz.com/game/221159/gal-metal/?region=All
Musynx,NS,0.01,PM Studios,Music,19 Jun 18,https://www.vgchartz.com/games/boxart/full_8076844AmericaFrontccc.jpg,https://www.vgchartz.com/game/220576/musynx/?region=All
VOEZ,NS,0.01,PM Studios,Music,14 Aug 18,https://www.vgchartz.com/games/boxart/full_7239816AmericaFrontccc.jpg,https://www.vgchartz.com/game/220911/voez/?region=All
Super Mario Party,NS,10.10,Nintendo,Party,05 Oct 18,https://www.vgchartz.com/games/boxart/full_4963230AmericaFrontccc.jpg,https://www.vgchartz.com/game/222153/super-mario-party/?region=All
1-2-Switch,NS,3.01,Nintendo,Party,03 Mar 17,https://www.vgchartz.com/games/boxart/full_3991269AmericaFrontccc.jpg,https://www.vgchartz.com/game/153115/1-2-switch/?region=All
Carnival Games,NS,0.27,2K Games,Party,06 Nov 18,https://www.vgchartz.com/games/boxart/full_1280516AmericaFrontccc.jpg,https://www.vgchartz.com/game/222265/carnival-games/?region=All
America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,NS,0.06,Ubisoft,Party,30 Oct 18,https://www.vgchartz.com/games/boxart/full_9533127AmericaFrontccc.jpg,https://www.vgchartz.com/game/222950/americas-greatest-game-shows-wheel-of-fortune-and-jeopardy/?region=All
Party Arcade,NS,0.06,Planet Entertainment,Party,09 Nov 18,https://www.vgchartz.com/games/boxart/full_9550204AmericaFrontccc.jpg,https://www.vgchartz.com/game/222634/party-arcade/?region=All
Hasbro Game Night for Nintendo Switch,NS,0.01,Ubisoft,Party,30 Oct 18,https://www.vgchartz.com/games/boxart/full_3384529PALFrontccc.png,https://www.vgchartz.com/game/222951/hasbro-game-night-for-nintendo-switch/?region=All
Super Mario Odyssey,NS,17.41,Nintendo,Platform,27 Oct 17,https://www.vgchartz.com/games/boxart/full_1659701AmericaFrontccc.jpg,https://www.vgchartz.com/game/152831/super-mario-odyssey/?region=All
New Super Mario Bros. U Deluxe,NS,6.60,Nintendo,Platform,11 Jan 19,https://www.vgchartz.com/games/boxart/full_4959961AmericaFrontccc.jpg,https://www.vgchartz.com/game/222773/new-super-mario-bros-u-deluxe/?region=All
