game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
The Girl and the Robot,PS4,0.03,Soedesco,Action-Adventure,29 Sep 17,https://www.vgchartz.com/games/boxart/full_3663005AmericaFrontccc.jpg,https://www.vgchartz.com/game/81590/the-girl-and-the-robot/?region=All
République,PS4,0.02,GungHo Online Entertainment,Action-Adventure,22 Mar 16,https://www.vgchartz.com/games/boxart/full_3215705AmericaFrontccc.jpg,https://www.vgchartz.com/game/90950/republique/?region=All
Resident Evil: Value Pack,PS4,0.02,Capcom,Action-Adventure,29 Sep 16,https://www.vgchartz.com/games/boxart/full_6116423JapanFrontccc.jpg,https://www.vgchartz.com/game/139004/resident-evil-value-pack/?region=All
Border Break,PS4,0.02,Sega,Action-Adventure,02 Aug 18,https://www.vgchartz.com/games/boxart/full_243109JapanFrontccc.jpg,https://www.vgchartz.com/game/222676/border-break/?region=All
Gravity Rush Remastered,PS4,0.02,Sony Computer Entertainment Europe,Action-Adventure,02 Feb 16,https://www.vgchartz.com/games/boxart/full_9068183PALFrontccc.jpg,https://www.vgchartz.com/game/86140/gravity-rush-remastered/?region=All
Far Cry 3: Classic Edition,PS4,0.01,Ubisoft,Action-Adventure,05 Jul 18,https://www.vgchartz.com/games/boxart/full_7396440JapanFrontccc.jpg,https://www.vgchartz.com/game/222381/far-cry-3-classic-edition/?region=All
Detroit: Become Human,PS4,3.20,Sony Interactive Entertainment,Adventure,25 May 18,https://www.vgchartz.com/games/boxart/full_6117415AmericaFrontccc.jpg,https://www.vgchartz.com/game/86175/detroit-become-human/?region=All
Rise of the Tomb Raider,PS4,2.07,Square Enix,Adventure,11 Oct 16,https://www.vgchartz.com/games/boxart/full_927091AmericaFrontccc.png,https://www.vgchartz.com/game/82907/rise-of-the-tomb-raider/?region=All
Until Dawn,PS4,1.90,Sony Computer Entertainment,Adventure,25 Aug 15,https://www.vgchartz.com/games/boxart/full_9439903AmericaFrontccc.jpg,https://www.vgchartz.com/game/84124/until-dawn/?region=All
Alien: Isolation,PS4,1.09,Sega,Adventure,07 Oct 14,https://www.vgchartz.com/games/boxart/full_5150679AmericaFrontccc.jpg,https://www.vgchartz.com/game/77802/alien-isolation/?region=All
Minecraft: Story Mode,PS4,0.87,Mojang,Adventure,27 Oct 15,https://www.vgchartz.com/games/boxart/full_4767252AmericaFrontccc.jpg,https://www.vgchartz.com/game/85926/minecraft-story-mode/?region=All
Yakuza Zero,PS4,0.65,Sega,Adventure,24 Jan 17,https://www.vgchartz.com/games/boxart/full_220716AmericaFrontccc.jpg,https://www.vgchartz.com/game/84444/yakuza-zero/?region=All
L.A. Noire,PS4,0.60,Rockstar Games,Adventure,14 Nov 17,https://www.vgchartz.com/games/boxart/full_6235034AmericaFrontccc.jpg,https://www.vgchartz.com/game/202279/la-noire/?region=All
Hidden Agenda,PS4,0.59,Sony Interactive Entertainment,Adventure,24 Oct 17,https://www.vgchartz.com/games/boxart/full_2353383AmericaFrontccc.jpg,https://www.vgchartz.com/game/204845/hidden-agenda/?region=All
Yakuza 6: The Song of Life,PS4,0.50,Sega,Adventure,17 Apr 18,https://www.vgchartz.com/games/boxart/full_5961435AmericaFrontccc.jpg,https://www.vgchartz.com/game/149747/yakuza-6-the-song-of-life/?region=All
The Walking Dead: A Telltale Games Series,PS4,0.48,Telltale Games,Adventure,14 Oct 14,https://www.vgchartz.com/games/boxart/full_8065871AmericaFrontccc.jpg,https://www.vgchartz.com/game/77738/the-walking-dead-a-telltale-games-series/?region=All
Yakuza Kiwami,PS4,0.45,Sega,Adventure,29 Aug 17,https://www.vgchartz.com/games/boxart/full_1466538AmericaFrontccc.jpg,https://www.vgchartz.com/game/86406/yakuza-kiwami/?region=All
Life is Strange,PS4,0.37,Square Enix,Adventure,19 Jan 16,https://www.vgchartz.com/games/boxart/full_9986454AmericaFrontccc.jpg,https://www.vgchartz.com/game/84063/life-is-strange/?region=All
Sherlock Holmes: Crimes & Punishments,PS4,0.29,Focus Home Interactive,Adventure,30 Sep 14,https://www.vgchartz.com/games/boxart/full_2127818AmericaFrontccc.jpg,https://www.vgchartz.com/game/84658/sherlock-holmes-crimes-amp-punishments/?region=All
Danganronpa V3: Killing Harmony,PS4,0.25,NIS America,Adventure,26 Sep 17,https://www.vgchartz.com/games/boxart/full_9593567PALFrontccc.jpg,https://www.vgchartz.com/game/153615/danganronpa-v3-killing-harmony/?region=All
The Wolf Among Us,PS4,0.22,Telltale Games,Adventure,04 Nov 14,https://www.vgchartz.com/games/boxart/full_3309449AmericaFrontccc.png,https://www.vgchartz.com/game/84785/the-wolf-among-us/?region=All
Life Is Strange: Before the Storm,PS4,0.22,Square Enix,Adventure,06 Mar 18,https://www.vgchartz.com/games/boxart/full_8558017AmericaFrontccc.jpg,https://www.vgchartz.com/game/220162/life-is-strange-before-the-storm/?region=All
Eagle Flight,PS4,0.20,Ubisoft,Adventure,08 Nov 16,https://www.vgchartz.com/games/boxart/full_9728922AmericaFrontccc.jpg,https://www.vgchartz.com/game/141903/eagle-flight/?region=All
Batman: A Telltale Game Series,PS4,0.19,Telltale Games,Adventure,13 Sep 16,https://www.vgchartz.com/games/boxart/full_4675273AmericaFrontccc.jpg,https://www.vgchartz.com/game/124375/batman-a-telltale-game-series/?region=All
Back to the Future: The Game,PS4,0.18,Telltale Games,Adventure,13 Oct 15,https://www.vgchartz.com/games/boxart/full_8774242AmericaFrontccc.jpg,https://www.vgchartz.com/game/85974/back-to-the-future-the-game/?region=All
